ID,Reef_ID,Latitude.Degrees,Longitude.Degrees,Ocean_Name,Realm,Ecoregion,Country_Name,State_Island_Province,City_Town,City_Town_2,City_Town_3,Date,Depth,Organism Code,Bleaching_S1,Bleaching_S2,Bleaching_S3,Bleaching_S4,Average_Bleaching,substrate_code,Hard_Coral_S1,Hard_Coral_S2,Hard_Coral_S3,Hard_Coral_S4,Average_coral_cover
25,21S114E1,-21.85833333,114.1669444,Indian,Central Indo-Pacific,Ningaloo Reef and coastal north-west Australia,Australia,Western Australia,North West Cape,,,8/28/1997,2,,,,,,,HC,15,20,21,16,18
26,21S114E1,-21.85833333,114.1669444,Indian,Central Indo-Pacific,Ningaloo Reef and coastal north-west Australia,Australia,Western Australia,North West Cape,,,8/31/1998,2,,,,,,,HC,29,26,23,24,25.5
27,21S165E2,-21.64083333,165.4466667,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,La Roche Percee,,,10/4/1998,3,,,,,,,HC,34,25,31,24,28.5
28,165.27.25E.21.37.79S,-21.62983333,165.4541667,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,La Roche Percee,,,1/21/2012,4,,,,,,,HC,34,21,11,22,22
29,165.27.25E.21.37.79S,-21.62983333,165.4541667,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,La Roche Percee,,,2/20/2013,4,,,,,,,HC,29,12,11,19,17.75
30,21S165E1,-21.6275,165.4533333,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,La Roche Percee,,,10/4/1998,3,,,,,,,HC,38,31,15,16,25
31,165.22.1.7E.21.37.30.2S,-21.62505556,165.3671389,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Poe Beach,,,1/13/2013,4.3,,,,,,,HC,20,9,13,11,13.25
32,165.22.1.7E.21.37.30.2S,-21.62505556,165.3671389,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Poe Beach,,,3/21/2014,4.3,,,,,,,HC,16,8,11,14,12.25
33,165.22.1.7E.21.37.30.2S,-21.62505556,165.3671389,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Poe Beach,,,3/7/2015,4.3,,,,,,,HC,15,9,13,14,12.75
34,165.22.50E.21.36.48.8S,-21.61355556,165.3805556,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Poe Beach,Plateau de Poe,,1/12/2013,2,,,,,,,HC,6,7,5,3,5.25
35,165.22.50E.21.36.48.8S,-21.61355556,165.3805556,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Poe Beach,Plateau de Poe,,3/21/2014,2,,,,,,,HC,10,8,12,7,9.25
36,165.22.50E.21.36.48.8S,-21.61355556,165.3805556,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Poe Beach,Plateau de Poe,,3/8/2015,2,,,,,,,HC,11,10,9,3,8.25
37,165.20.18.4E.21.35.52S,-21.59777778,165.3384444,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Ilot Shark,,,1/12/2013,2,,,,,,,HC,20,21,10,12,15.75
38,165.20.18.4E.21.35.52S,-21.59777778,165.3384444,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Ilot Shark,,,3/20/2014,2,,,,,,,HC,19,16,15,10,15
39,165.20.18.4E.21.35.52S,-21.59777778,165.3384444,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Ilot Shark,,,3/7/2015,2,,,,,,,HC,12,10,9,9,10
40,166.15.806E.21.35.601S,-21.59336111,166.2634444,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Carae,,,1/15/2012,4.5,,,,,,,HC,4,11,6,8,7.25
41,166.15.806E.21.35.601S,-21.59336111,166.2634444,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Carae,,,3/31/2013,4.5,,,,,,,HC,0,2,4,0,1.5
42,166.15.806E.21.35.601S,-21.59336111,166.2634444,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Carae,,,5/3/2014,4.5,,,,,,,HC,0,2,3,0,1.25
43,166.15.806E.21.35.601S,-21.59336111,166.2634444,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Carae,,,4/22/2015,4.5,,,,,,,HC,0,2,1,2,1.25
44,166.20.248E.21.33.38S,-21.55633333,166.3374722,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Thio,,,12/12/2004,6.5,,,,,,,HC,15,15,19,7,14
45,166.20.248E.21.33.38S,-21.55633333,166.3374722,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Thio,,,1/15/2012,6,,,,,,,HC,11,8,20,5,11
46,166.20.248E.21.33.38S,-21.55633333,166.3374722,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Thio,,,3/31/2013,7,,,,,,,HC,12,17,15,11,13.75
47,166.20.248E.21.33.38S,-21.55633333,166.3374722,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Thio,,,5/3/2014,7,,,,,,,HC,11,18,20,12,15.25
48,166.20.248E.21.33.38S,-21.55633333,166.3374722,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Thio,,,4/22/2015,7,,,,,,,HC,11,11,18,13,13.25
49,164.57.507E.21.24.635S,-21.41058333,164.9584444,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Nepoui,Grimault Island,,3/30/2012,2,,,,,,,HC,17,17,10,4,12
50,164.57.507E.21.24.635S,-21.41058333,164.9584444,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Nepoui,Grimault Island,,3/24/2013,2.3,,,,,,,HC,13,6,7,2,7
51,164.57.507E.21.24.635S,-21.41058333,164.9584444,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Nepoui,Grimault Island,,1/1/2014,2.3,,,,,,,HC,0,14,15,20,12.25
52,164.57.507E.21.24.635S,-21.41058333,164.9584444,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Nepoui,Grimault Island,,1/18/2015,2.3,,,,,,,HC,23,15,12,1,12.75
53,164.58.035E.21.22.82S,-21.38033333,164.96725,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Nepoui,Barrage de Pindaï¿½,,3/30/2012,3.5,,,,,,,HC,2,3,0,7,3
54,164.58.035E.21.22.82S,-21.38033333,164.96725,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Nepoui,Barrage de Pindaï¿½,,3/24/2013,4.3,,,,,,,HC,3,2,1,5,2.75
55,164.58.035E.21.22.82S,-21.38033333,164.96725,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Nepoui,Barrage de Pindaï¿½,,1/1/2014,4.3,,,,,,,HC,2,3,3,7,3.75
56,164.58.035E.21.22.82S,-21.38033333,164.96725,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Nepoui,Barrage de Pindaï¿½,,1/18/2015,4.3,,,,,,,HC,4,4,6,6,5
57,164.58.835E.21.22.038S,-21.36730556,164.9805833,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Nepoui,Grimault Island,,3/30/2012,3,,,,,,,HC,1,3,2,4,2.5
58,164.58.835E.21.22.038S,-21.36730556,164.9805833,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Nepoui,Grimault Island,,3/24/2013,2.5,,,,,,,HC,0,1,0,3,1
59,164.58.835E.21.22.038S,-21.36730556,164.9805833,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Nepoui,Grimault Island,,12/22/2013,2.5,,,,,,,HC,2,2,1,4,2.25
60,164.58.835E.21.22.038S,-21.36730556,164.9805833,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Nepoui,Grimault Island,,1/18/2015,2.5,,,,,,,HC,1,0,1,3,1.25
61,164.45.769E.21.13.08S,-21.218,164.7628056,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Passe de Pouembout,Le Ronfleur,,3/29/2012,2.5,,,,,,,HC,5,6,3,9,5.75
62,164.45.769E.21.13.08S,-21.218,164.7628056,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Passe de Pouembout,Le Ronfleur,,3/23/2013,2.8,,,,,,,HC,1,2,1,2,1.5
63,164.45.769E.21.13.08S,-21.218,164.7628056,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Passe de Pouembout,Le Ronfleur,,12/21/2013,2.8,,,,,,,HC,4,3,2,2,2.75
64,164.45.769E.21.13.08S,-21.218,164.7628056,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Passe de Pouembout,Le Ronfleur,,1/17/2015,2.8,,,,,,,HC,6,8,11,9,8.5
65,164.46.682E.21.11.68S,-21.19466667,164.7780278,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Passe de Pouembout,Plateau de Koniï¿½ne,,3/29/2012,4,,,,,,,HC,32,22,27,22,25.75
66,164.46.682E.21.11.68S,-21.19466667,164.7780278,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Passe de Pouembout,Plateau de Koniï¿½ne,,1/1/2014,2.5,,,,,,,HC,22,20,25,25,23
67,164.46.682E.21.11.68S,-21.19466667,164.7780278,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Passe de Pouembout,Plateau de Koniï¿½ne,,1/17/2015,3,,,,,,,HC,30,22,20,22,23.5
68,55.17.0.46E.21.10.31.76S,-21.1755,55.28346111,Indian,Western Indo-Pacific,Mascarene Islands,France,Reunion,Saint-Paul,Saint-Leu,,1/19/2012,13,,,,,,,HC,17,22,19,20,19.5
69,55.16.54.95E.21.9.57.38S,-21.16594444,55.28194444,Indian,Western Indo-Pacific,Mascarene Islands,France,Reunion,Saint-Paul,Saint-Leu,,1/20/2012,13,,,,,,,HC,19,15,16,16,16.5
70,175.09.767W.21.07.05S,-21.1175,-175.1627778,Pacific,Central Indo-Pacific,"Samoa, Tuvalu and Tonga",Tonga,Nuku'alofa,Pangaimotu Island,,,1/16/2002,3,,,,,,,HC,15,16,17,19,16.75
71,175.09.767W.21.07.05S,-21.1175,-175.1627778,Pacific,Central Indo-Pacific,"Samoa, Tuvalu and Tonga",Tonga,Nuku'alofa,Pangaimotu Island,,,1/16/2002,10,,,,,,,HC,16,12,21,10,14.75
72,55.13.16.03E.21.3.11.05S,-21.05308333,55.22111111,Indian,Western Indo-Pacific,Mascarene Islands,France,Reunion,Saint-Paul,Saint-Gilles,,12/2/2015,5,,,,,,,HC,19,16,16,20,17.75
73,167.25.128E.21.01.857S,-21.03094444,167.4188056,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Luengoni Bay,,4/5/2012,5,,,,,,,HC,0,3,3,2,2
74,167.25.128E.21.01.857S,-21.03094444,167.4188056,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Luengoni Bay,,4/10/2013,6,,,,,,,HC,0,4,2,4,2.5
75,167.25.128E.21.01.857S,-21.03094444,167.4188056,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Luengoni Bay,,4/16/2014,6,,,,,,,HC,0,3,3,4,2.5
76,167.25.128E.21.01.857S,-21.03094444,167.4188056,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Luengoni Bay,,4/16/2015,6,,,,,,,HC,0,3,1,4,2
77,167.24.722E.21.01.568S,-21.02613889,167.4120278,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Luengoni Bay,,11/3/2005,8,,,,,,,HC,6,1,1,1,2.25
78,167.24.722E.21.01.568S,-21.02613889,167.4120278,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Luengoni Bay,,4/5/2012,8,,,,,,,HC,3,3,6,11,5.75
79,167.24.722E.21.01.568S,-21.02613889,167.4120278,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Luengoni Bay,,4/10/2013,5.3,,,,,,,HC,3,6,4,2,3.75
80,167.24.722E.21.01.568S,-21.02613889,167.4120278,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Luengoni Bay,,4/16/2014,5.3,,,,,,,HC,6,5,11,9,7.75
81,167.24.722E.21.01.568S,-21.02613889,167.4120278,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Luengoni Bay,,4/16/2015,5.3,,,,,,,HC,7,9,3,1,5
82,165.22.11.3E.20.56.2.3S,-20.93397222,165.3698056,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Poindimie,,,1/16/2013,4.8,,,,,,,HC,20,24,27,28,24.75
83,165.22.11.3E.20.56.2.3S,-20.93397222,165.3698056,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Poindimie,,,1/24/2014,4.8,,,,,,,HC,13,18,17,17,16.25
84,165.22.11.3E.20.56.2.3S,-20.93397222,165.3698056,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Poindimie,,,2/25/2015,4.8,,,,,,,HC,14,23,21,21,19.75
85,165.22.7.9E.20.55.11.1S,-20.91975,165.3688611,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Poindimie,,,1/16/2013,7.8,,,,,,,HC,16,4,12,11,10.75
86,165.22.7.9E.20.55.11.1S,-20.91975,165.3688611,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Poindimie,,,1/24/2014,7.8,,,,,,,HC,9,10,6,8,8.25
87,165.22.7.9E.20.55.11.1S,-20.91975,165.3688611,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Poindimie,,,2/24/2015,7.8,,,,,,,HC,0,0,1,0,0.25
88,167.16.444E.20.54.940S,-20.91566667,167.2740556,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Chateaubriand Bay,,11/6/2004,5,,,,,,,HC,22,13,13,14,15.5
89,167.16.444E.20.54.940S,-20.91566667,167.2740556,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Chateaubriand Bay,,4/3/2012,3.5,,,,,,,HC,16,10,17,15,14.5
90,167.16.444E.20.54.940S,-20.91566667,167.2740556,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Chateaubriand Bay,,4/9/2013,3.5,,,,,,,HC,15,7,7,10,9.75
91,167.16.444E.20.54.940S,-20.91566667,167.2740556,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Chateaubriand Bay,,4/15/2014,3.5,,,,,,,HC,11,19,8,18,14
92,167.16.444E.20.54.940S,-20.91566667,167.2740556,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Chateaubriand Bay,,4/15/2015,3.5,,,,,,,HC,8,5,6,8,6.75
93,167.15.862E.20.54.400S,-20.90666667,167.2643611,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Chateaubriand Bay,,4/3/2012,5,,,,,,,HC,22,19,19,12,18
94,167.15.862E.20.54.400S,-20.90666667,167.2643611,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Chateaubriand Bay,,4/9/2013,5,,,,,,,HC,27,29,21,13,22.5
95,167.15.862E.20.54.400S,-20.90666667,167.2643611,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Chateaubriand Bay,,4/15/2014,5,,,,,,,HC,24,26,25,15,22.5
96,167.15.862E.20.54.400S,-20.90666667,167.2643611,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Chateaubriand Bay,,4/15/2015,5,,,,,,,HC,31,27,23,16,24.25
97,149.407719E.20.899828S,-20.89983333,149.4077222,Pacific,Central Indo-Pacific,Southern Great Barrier Reef,Australia,Queensland,Keswick Island,,,3/26/2016,4,Bleaching (% of population),5,5,10,5,6.25,HC,19,14,10,14,14.25
98,149.420997E.20.893064S,-20.89305556,149.421,Pacific,Central Indo-Pacific,Southern Great Barrier Reef,Australia,Queensland,Keswick Island,,,3/26/2016,5,Bleaching (% of population),10,10,10,5,8.75,HC,11,17,8,7,10.75
99,165.25.14.1E.20.50.43.3S,-20.84536111,165.4205833,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Poindimie,,,1/17/2013,4,,,,,,,HC,30,28,25,28,27.75
100,165.25.14.1E.20.50.43.3S,-20.84536111,165.4205833,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Poindimie,,,1/23/2014,4,,,,,,,HC,28,26,20,27,25.25
101,165.25.14.1E.20.50.43.3S,-20.84536111,165.4205833,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Poindimie,,,2/25/2015,4,,,,,,,HC,23,20,22,30,23.75
102,167.09.413E.20.47.637S,-20.79394444,167.1568889,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Santal Bay,,11/6/2005,5,,,,,,,HC,12,5,8,4,7.25
103,167.09.413E.20.47.637S,-20.79394444,167.1568889,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Santal Bay,,4/4/2012,6,,,,,,,HC,2,10,9,10,7.75
104,167.09.413E.20.47.637S,-20.79394444,167.1568889,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Santal Bay,,4/11/2013,5,,,,,,,HC,8,7,8,4,6.75
105,167.09.413E.20.47.637S,-20.79394444,167.1568889,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Santal Bay,,4/17/2014,5,,,,,,,HC,9,10,6,4,7.25
106,167.09.413E.20.47.637S,-20.79394444,167.1568889,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Santal Bay,,4/14/2015,5,,,,,,,HC,8,6,5,4,5.75
107,167.07.307E.20.47.273S,-20.78788889,167.1217778,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Santal Bay,,4/4/2012,1,,,,,,,HC,27,22,16,20,21.25
108,167.07.307E.20.47.273S,-20.78788889,167.1217778,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Santal Bay,,4/11/2013,1.3,,,,,,,HC,13,11,20,7,12.75
109,167.07.307E.20.47.273S,-20.78788889,167.1217778,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Santal Bay,,4/17/2014,1.3,,,,,,,HC,11,19,13,18,15.25
110,167.07.307E.20.47.273S,-20.78788889,167.1217778,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Santal Bay,,4/14/2015,1.3,,,,,,,HC,16,12,15,11,13.5
111,167.07.028E.20.47.080S,-20.78466667,167.1171389,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Santal Bay,,11/6/2005,5,,,,,,,HC,4,5,4,2,3.75
112,167.07.028E.20.47.080S,-20.78466667,167.1171389,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Santal Bay,,4/4/2012,6,,,,,,,HC,12,1,7,20,10
113,167.07.028E.20.47.080S,-20.78466667,167.1171389,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Santal Bay,,4/11/2013,5.5,,,,,,,HC,12,0,1,18,7.75
114,167.07.028E.20.47.080S,-20.78466667,167.1171389,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Santal Bay,,4/17/2014,5.5,,,,,,,HC,8,2,3,15,7
115,167.07.028E.20.47.080S,-20.78466667,167.1171389,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,Santal Bay,,4/14/2015,5.5,,,,,,,HC,7,0,1,20,7
116,149.472044E.20.745817S,-20.74580556,149.4720556,Pacific,Central Indo-Pacific,Southern Great Barrier Reef,Australia,Queensland,Wigton Island,Wigton Island Reef,,3/27/2016,6,Bleaching (% of population),15,15,10,5,11.25,HC,12,23,27,22,21
117,149.464958E.20.737692S,-20.73769444,149.4649444,Pacific,Central Indo-Pacific,Southern Great Barrier Reef,Australia,Queensland,Wigton Island,Wigton Island Reef,,3/27/2016,5,Bleaching (% of population),30,30,30,10,25,HC,18,17,22,4,15.25
118,164.59.54.6E.20.41.43.5S,-20.69541667,164.9985,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Pindache,Baie de Hienghï¿½ne,,3/17/2012,3,,,,,,,HC,5,10,5,4,6
119,164.59.54.6E.20.41.43.5S,-20.69541667,164.9985,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Pindache,Baie de Hienghï¿½ne,,3/19/2013,4,,,,,,,HC,10,7,11,5,8.25
120,164.59.54.6E.20.41.43.5S,-20.69541667,164.9985,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Pindache,Baie de Hienghï¿½ne,,3/24/2014,4,,,,,,,HC,13,8,5,5,7.75
121,164.14.25.1E.20.40.11.9S,-20.66997222,164.2403056,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Koumac,,,1/15/2013,1.5,,,,,,,HC,17,9,7,6,9.75
122,164.14.25.1E.20.40.11.9S,-20.66997222,164.2403056,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Koumac,,,1/22/2014,1.5,,,,,,,HC,15,13,18,8,13.5
123,164.14.25.1E.20.40.11.9S,-20.66997222,164.2403056,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Koumac,,,1/11/2015,1.5,,,,,,,HC,13,9,13,11,11.5
124,164.58.993E.20.38.679S,-20.64463889,164.9832222,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Hienghene,Hiengabat,,3/17/2012,3,,,,,,,HC,14,8,4,10,9
125,164.58.993E.20.38.679S,-20.64463889,164.9832222,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Hienghene,Hiengabat,,3/19/2013,3.5,,,,,,,HC,18,8,4,9,9.75
